일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-10 00:00:00,경상북도,31.5,30.35,24.15,20.73,86.01,1,2021,7
2021-07-10 00:00:00,경상남도,31.72,30.09,25.64,22.3,84.57,1,2021,7
2021-07-10 00:00:00,제주특별자치도,32.9,32.6,28,25.5,71.9,1,2021,7
2021-07-11 00:00:00,서울특별시,30.3,27.5,25.7,24.1,86.8,0,2021,7
2021-07-11 00:00:00,부산광역시,31.5,29.1,26.2,23.8,84.6,2,2021,7
2021-07-11 00:00:00,대구광역시,33.15,32.75,25.1,20.35,81.25,1,2021,7
2021-07-11 00:00:00,인천광역시,28.2,25.9,24.6,23.9,83.6,0,2021,7
2021-07-11 00:00:00,광주광역시,34.1,31.8,27.2,23.1,90.5,0,2021,7
2021-07-11 00:00:00,대전광역시,32.9,31.1,27.2,23.4,86.1,0,2021,7
2021-07-11 00:00:00,울산광역시,33.3,32.3,26.6,21.3,82.5,0,2021,7
2021-07-11 00:00:00,세종특별자치시,31.8,30,25.7,23.4,80.3,0,2021,7
2021-07-11 00:00:00,경기도,30.63,28.14,24.66,22.41,90.65,1,2021,7
2021-07-11 00:00:00,강원도,31.39,29.85,24.82,21.07,84.35,0,2021,7
2021-07-11 00:00:00,충청북도,31.52,29.75,24.02,20.97,88.15,0,2021,7
2021-07-11 00:00:00,충청남도,31.68,29.33,25.34,22.68,90.09,0,2021,7
2021-07-11 00:00:00,전라북도,32.7,30.96,25.88,22,85.13,0,2021,7
2021-07-11 00:00:00,전라남도,33.2,31.12,26.4,22.27,87.71,0,2021,7
2021-07-11 00:00:00,경상북도,32.42,31.18,24.89,20.63,83.62,3,2021,7
2021-07-11 00:00:00,경상남도,33.06,31.41,26.59,22.63,83.03,5,2021,7
2021-07-11 00:00:00,제주특별자치도,34.2,33,28.4,25.3,76.5,4,2021,7
2021-07-12 00:00:00,서울특별시,33.6,32.5,28.1,23.8,75.1,1,2021,7
2021-07-12 00:00:00,부산광역시,32.1,29.9,27.2,25.4,83.6,2,2021,7
